iteration, enemy_level, game_time(s), date, my_score, enemy_score, battle_result
#--> latest commit:1e7c8bc16408c776ac5b87b1b01671db466529fb
0, 1, 225, 2020-08-05T07:01:26+00:00, 0, 0, LOSE
0, 2, 225, 2020-08-05T07:06:14+00:00, 13, 1, WIN
0, 3, 225, 2020-08-05T07:11:02+00:00, 9, 11, LOSE
1, 1, 225, 2020-08-05T07:15:58+00:00, 12, 10, WIN
1, 2, 225, 2020-08-05T07:20:45+00:00, 9, 2, WIN
1, 3, 225, 2020-08-05T07:25:34+00:00, 11, 14, LOSE
2, 1, 225, 2020-08-05T07:30:29+00:00, 10, 0, WIN
2, 2, 225, 2020-08-05T07:35:17+00:00, 9, 2, WIN
2, 3, 225, 2020-08-05T07:40:04+00:00, 10, 1, WIN
